_TYPE_;_FREQ_;separation1;separation2;n;ncov;epv;truebeta1;truebeta2;method;BetaNA1;BetaNA2;noLowerCI1;NoUpperCI1;NoLowerCI2;NoUpperCI2;MUE1;MUE2
0;220001;;;300;10;3;-1.386294361;0.6931471806;LXPMLE;0.0012;0.0012;0.0015;0.0015;0.0015;0.0015;;
0;120001;0.3432;0;300;10;3;-0.693147181;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;-0.693147181;0.6931471806;LXPMLE;0.0004;0.0004;0.0007;0.0005;0.0005;0.0005;;
0;120001;0.1502;0;300;10;3;0;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;0;0.6931471806;LXPMLE;0;0;0.0005;0.0003;0.0003;0.0005;;
0;120001;0.0337;0;300;10;3;0.6931471806;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;0.6931471806;0.6931471806;LXPMLE;0;0;0.0006;0.0001;0.0002;0.0002;;
0;120001;0.0042;0;300;10;3;1.3862943611;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;1.3862943611;0.6931471806;LXPMLE;0;0;0.0012;0.001;0.0008;0.0012;;
0;120001;0.0005;0;300;10;3;2.0794415417;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;2.0794415417;0.6931471806;LXPMLE;0;0;0.0014;0.002;0.0015;0.0034;;
0;120001;0;0;300;10;3;2.7725887222;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;2.7725887222;0.6931471806;LXPMLE;0;0;0.0043;0.0063;0.0057;0.0101;;
0;120001;0.7874;0;500;10;5;-2.772588722;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;-2.772588722;0.6931471806;LXPMLE;0.702;0.702;0.7171;0.702;0.702;0.7022;;
0;120001;0.6251;0;500;10;5;-2.079441542;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;-2.079441542;0.6931471806;LXPMLE;0.6219;0.6219;0.6339;0.6219;0.6221;0.6219;;
0;120001;0.3992;0;500;10;5;-1.386294361;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;-1.386294361;0.6931471806;LXPMLE;0.4533;0.4533;0.4672;0.4533;0.4533;0.4533;;
0;120001;0.1665;0;500;10;5;-0.693147181;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;-0.693147181;0.6931471806;LXPMLE;0.2424;0.2424;0.2498;0.2424;0.2424;0.2424;;
0;120001;0.0422;0;500;10;5;0;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;0;0.6931471806;LXPMLE;0.0716;0.0716;0.0824;0.0716;0.0716;0.0716;;
0;120001;0.004;0;500;10;5;0.6931471806;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;0.6931471806;0.6931471806;LXPMLE;0.0084;0.0084;0.0163;0.0084;0.0084;0.0084;;
0;120001;0;0;500;10;5;1.3862943611;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;1.3862943611;0.6931471806;LXPMLE;0;0;0.0063;0.0001;0.0002;0.0003;;
0;120001;0;0;500;10;5;2.0794415417;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;2.0794415417;0.6931471806;LXPMLE;0;0;0.0017;0.0002;0.0002;0.0007;;
0;120001;0;0;500;10;5;2.7725887222;0.6931471806;ML;;;;;;;;
0;220001;;;500;10;5;2.7725887222;0.6931471806;LXPMLE;0;0;0.0012;0.0024;0.0015;0.0043;;
0;120001;0.6283;0;1000;10;10;-2.772588722;0.6931471806;ML;;;;;;;;
0;120001;0.4029;0;1000;10;10;-2.079441542;0.6931471806;ML;;;;;;;;
0;120001;0.1606;0;1000;10;10;-1.386294361;0.6931471806;ML;;;;;;;;
0;120001;0.0274;0;1000;10;10;-0.693147181;0.6931471806;ML;;;;;;;;
0;120001;0.0016;0;1000;10;10;0;0.6931471806;ML;;;;;;;;
0;120001;0;0;1000;10;10;0.6931471806;0.6931471806;ML;;;;;;;;
0;120001;0;0;1000;10;10;1.3862943611;0.6931471806;ML;;;;;;;;
0;120001;0;0;1000;10;10;2.0794415417;0.6931471806;ML;;;;;;;;
0;120001;0;0;1000;10;10;2.7725887222;0.6931471806;ML;;;;;;;;
