_TYPE_;_FREQ_;bias1;msen1;leftcov1;rightcov1;power1;bias2;msen2;leftcov2;rightcov2;power2;width1;width2;MSPEN;rmsen1;rmsen2;rmspen;n;ncov;epv;method;truebeta1;truebeta2
0;60001;0.4926643605;5.4691237806;0.5442;0.5638;0.0162;0.0359376814;2.1858121125;0.5585;0.5522;0.1384;3.8222538934;2.4075883926;;23.38615783;14.784492255;;100;2;5;LXPMLE;-0.693147181;0.6931471806
0;69819;0.508909053;0.7126241422;0.9882695007;0.999699218;0.0032083417;0.005986365;0.5862917893;0.9888710648;0.9891718468;0.1234208943;1E300;3.2176494598;;8.441706831;7.6569693046;;100;2;5;Exact;-0.693147181;0.6931471806
0;69819;0.508909053;0.7126241422;0.9806496892;0.999699218;0.0098255464;0.005986365;0.5862917893;0.9784439543;0.9803489072;0.17455384;1E300;2.8606891632;;8.441706831;7.6569693046;;100;2;5;Mid-P;-0.693147181;0.6931471806
0;10000;-7.051680542;176.4062541;0.969;1;0.031;0.0804741752;10.523977818;0.9831;0.9889;0.159;4.2203899322;2.7137585592;0.4502906095;132.81801613;32.440680971;0.6710369658;100;2;5;ML;0;0.6931471806
0;10000;0.1516046786;0.7209349284;0.9635;0.9988;0.0377;-0.005533066;0.4880158747;0.9775;0.9753;0.191;3.7353136234;2.6176707782;0.5284950136;8.4907887054;6.9858133008;0.7269766252;100;2;5;Firth;0;0.6931471806
0;10000;0.1516059258;0.7209353796;0.9635;0.9988;0.0377;-0.005533599;0.4880164686;0.9775;0.9753;0.191;3.7353129594;2.6176708124;0.4086175778;8.4907913626;6.985817551;0.6392320219;100;2;5;FLAC;0;0.6931471806
0;10000;-0.336076139;1.4042175518;0.9794;0.9931;0.0275;-0.029561143;0.5832631463;0.9759;0.9738;0.174;4.3141464562;2.7526324549;0.411851203;11.849968573;7.6371666625;0.6417563424;100;2;5;DatAug;0;0.6931471806
0;60001;0.3138653264;4.9720911771;0.5786;0.5968;0.0312;0.0439781105;2.1086323076;0.5929;0.5853;0.1295;3.6706477646;2.4438644154;;22.298186422;14.521130492;;100;2;5;LXPMLE;0;0.6931471806
0;69742;0.1574967088;0.5486411843;0.9888587775;0.9990966576;0.0112415939;0.0017057799;0.5753304489;0.9893606343;0.9891598916;0.1095051691;5.8966398239;3.2843351364;;7.4070316883;7.5850540466;;100;2;5;Exact;0;0.6931471806
0;69742;0.1574967088;0.5486411843;0.9799257252;0.9981933153;0.0210779886;0.0017057799;0.5753304489;0.9797249824;0.9821338954;0.1607949413;5.0231218338;2.9153704643;;7.4070316883;7.5850540466;;100;2;5;Mid-P;0;0.6931471806
0;10000;-3.233793234;83.443497484;0.9741;0.9995;0.1493;0.2144700936;15.462472561;0.9775;0.9855;0.1554;3.3114694253;2.7790074107;0.564412749;91.347412379;39.322350593;0.7512740838;100;2;5;ML;0.6931471806;0.6931471806
0;10000;0.0293466369;0.6498290663;0.9675;0.9909;0.1711;0.0004332949;0.5620121403;0.9726;0.9724;0.1901;3.1087038007;2.6764097749;0.6506322824;8.0611975931;7.4967468968;0.8066178044;100;2;5;Firth;0.6931471806;0.6931471806
0;10000;0.0293477743;0.649829524;0.9675;0.9909;0.1711;0.0004325792;0.5620127805;0.9726;0.9724;0.1901;3.1087036113;2.6764098471;0.4973201312;8.0612004314;7.4967511665;0.7052092819;100;2;5;FLAC;0.6931471806;0.6931471806
0;10000;-0.277795271;1.1959369123;0.9807;0.9736;0.1192;-0.000324518;0.6648710672;0.9706;0.9731;0.1811;3.3871009169;2.8224359007;0.5200868873;10.935890052;8.1539626392;0.7211704981;100;2;5;DatAug;0.6931471806;0.6931471806
0;60001;0.2462560582;4.592991202;0.5984;0.606;0.1174;0.0812559664;2.0993252902;0.6071;0.5979;0.1253;2.9295432237;2.5163035478;;21.431265016;14.489048589;;100;2;5;LXPMLE;0.6931471806;0.6931471806
