isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
83,x1,1,-23.8960,113723.6,-222918,222870.2,0.00,0.9998
83,x2,1,0.6325,0.5000,-0.3474,1.6125,1.60,0.2058
83,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
84,Intercept,1,-2.4032,0.2900,-2.9717,-1.8348,68.66,<.0001
84,x1,1,-0.2247,0.7719,-1.7376,1.2881,0.08,0.7709
84,x2,1,0.3537,0.4727,-0.5727,1.2802,0.56,0.4542
84,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
85,Intercept,1,-2.8228,0.3542,-3.5171,-2.1285,63.50,<.0001
85,x1,1,-0.5768,0.7716,-2.0891,0.9354,0.56,0.4547
85,x2,1,0.9486,0.4880,-0.0079,1.9050,3.78,0.0519
85,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
86,Intercept,1,-2.5768,0.3333,-3.2301,-1.9234,59.76,<.0001
86,x1,1,-24.4767,127012.7,-248965,248915.8,0.00,0.9998
86,x2,1,0.7113,0.4595,-0.1893,1.6118,2.40,0.1216
86,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
87,Intercept,1,-2.0224,0.2454,-2.5035,-1.5414,67.91,<.0001
87,x1,1,-0.3735,0.6107,-1.5705,0.8236,0.37,0.5409
87,x2,1,0.5201,0.3567,-0.1791,1.2193,2.13,0.1449
87,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
88,Intercept,1,-2.5793,0.3336,-3.2332,-1.9254,59.77,<.0001
88,x1,1,-1.1756,1.0379,-3.2099,0.8586,1.28,0.2573
88,x2,1,0.7172,0.4547,-0.1740,1.6084,2.49,0.1147
88,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
89,Intercept,1,-2.7061,0.3353,-3.3633,-2.0488,65.12,<.0001
89,x1,1,-0.0572,1.0414,-2.0983,1.9839,0.00,0.9562
89,x2,1,0.5734,0.5081,-0.4225,1.5694,1.27,0.2591
89,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
90,Intercept,1,-2.4537,0.3015,-3.0446,-1.8627,66.23,<.0001
90,x1,1,-25.0280,130529.4,-255858,255807.9,0.00,0.9998
90,x2,1,0.9587,0.4174,0.1406,1.7768,5.27,0.0216
90,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
91,Intercept,1,-2.7480,0.3536,-3.4409,-2.0550,60.41,<.0001
91,x1,1,-24.9727,134545.3,-263729,263679.1,0.00,0.9999
91,x2,1,1.4400,0.4378,0.5820,2.2981,10.82,0.0010
91,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
92,Intercept,1,-2.9595,0.4092,-3.7615,-2.1576,52.31,<.0001
92,x1,1,-1.0360,1.0306,-3.0560,0.9839,1.01,0.3148
92,x2,1,1.1889,0.4951,0.2186,2.1592,5.77,0.0163
92,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
93,Intercept,1,-2.1106,0.2500,-2.6006,-1.6206,71.27,<.0001
93,x1,1,-22.9825,95665.42,-187524,187477.8,0.00,0.9998
93,x2,1,-0.0649,0.4787,-1.0032,0.8733,0.02,0.8921
93,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
94,Intercept,1,-2.7991,0.3540,-3.4929,-2.1052,62.52,<.0001
94,x1,1,-0.0066,1.0515,-2.0675,2.0544,0.00,0.9950
94,x2,1,0.5252,0.5091,-0.4726,1.5230,1.06,0.3022
