isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
39,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
40,Intercept,1,-3.8932,0.5597,-5.1936,-2.9447,48.38,<.0001
40,x1,1,2.1044,0.4846,1.1932,3.1214,18.86,<.0001
40,x2,1,1.2733,0.6027,0.1947,2.6233,4.46,0.0346
40,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
41,Intercept,1,-4.0793,0.5946,-5.4172,-3.0556,47.07,<.0001
41,x1,1,2.7139,0.5845,1.5926,3.9481,21.56,<.0001
41,x2,1,0.8344,0.5845,-0.2868,2.0687,2.04,0.1534
41,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
42,Intercept,1,-5.5526,1.3925,-10.2558,-3.6572,15.90,<.0001
42,x1,1,2.6488,0.8771,1.1632,4.7795,9.12,0.0025
42,x2,1,2.1312,1.5714,-0.4490,6.9615,1.84,0.1750
42,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
43,Intercept,1,-3.0691,0.3802,-3.9091,-2.4006,65.18,<.0001
43,x1,1,1.9694,0.5708,0.8208,3.0859,11.90,0.0006
43,x2,1,0.2135,0.5656,-0.9125,1.3306,0.14,0.7058
43,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
44,Intercept,1,-3.7117,0.4928,-4.8344,-2.8649,56.74,<.0001
44,x1,1,2.1552,0.4567,1.3002,3.1108,22.27,<.0001
44,x2,1,1.2640,0.5486,0.2665,2.4601,5.31,0.0212
44,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
45,Intercept,1,-3.5951,0.4909,-4.7151,-2.7529,53.63,<.0001
45,x1,1,2.5539,0.5255,1.5549,3.6409,23.62,<.0001
45,x2,1,0.6193,0.5845,-0.4677,1.8662,1.12,0.2893
45,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
46,Intercept,1,-4.4432,0.6576,-6.0243,-3.3526,45.65,<.0001
