isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
52,x1,1,-24.9529,185361.0,-363326,363275.9,0.00,0.9999
52,x2,1,0.9415,0.8165,-0.6588,2.5419,1.33,0.2488
52,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
53,Intercept,1,-1.9247,0.3936,-2.6960,-1.1533,23.91,<.0001
53,x1,1,0.3778,1.0899,-1.7583,2.5139,0.12,0.7289
53,x2,1,-1.1433,1.0899,-3.2794,0.9929,1.10,0.2942
53,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
54,Intercept,1,-29.2085,0.5774,-30.3401,-28.0770,2559.42,<.0001
54,x1,1,-0.7298,1.1547,-2.9930,1.5334,0.40,0.5274
54,x2,0,27.9867,0.0000,27.9867,27.9867,,
54,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
55,Intercept,1,-3.0467,0.7071,-4.4326,-1.6608,18.56,<.0001
55,x1,1,-24.4933,239380.1,-469201,469151.8,0.00,0.9999
55,x2,1,0.8805,1.0000,-1.0795,2.8404,0.78,0.3786
55,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
56,Intercept,1,-2.1087,0.5000,-3.0887,-1.1287,17.79,<.0001
56,x1,1,-24.5945,252782.5,-495469,495419.9,0.00,0.9999
56,x2,1,0.1167,0.7638,-1.3802,1.6137,0.02,0.8785
56,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
57,Intercept,1,-2.4236,0.5774,-3.5552,-1.2920,17.62,<.0001
57,x1,1,-24.6432,201220.8,-394410,394360.8,0.00,0.9999
57,x2,1,0.8057,0.7638,-0.6912,2.3027,1.11,0.2915
57,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
58,Intercept,1,-1.9031,0.4082,-2.7033,-1.1030,21.73,<.0001
58,x1,1,-23.8591,152414.7,-298751,298703.4,0.00,0.9999
58,x2,1,0.3185,0.6455,-0.9467,1.5836,0.24,0.6218
58,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
59,Intercept,1,-2.4147,0.5810,-3.5534,-1.2760,17.28,<.0001
59,x1,1,0.1425,1.2552,-2.3176,2.6027,0.01,0.9096
59,x2,1,-0.1073,1.0249,-2.1161,1.9014,0.01,0.9166
59,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
60,Intercept,1,-2.9409,0.7090,-4.3305,-1.5514,17.21,<.0001
60,x1,1,-0.4656,1.1255,-2.6716,1.7405,0.17,0.6792
60,x2,1,1.8384,0.8898,0.0944,3.5824,4.27,0.0388
60,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
61,Intercept,1,-2.8871,0.7092,-4.2772,-1.4971,16.57,<.0001
61,x1,1,1.4476,1.1262,-0.7598,3.6550,1.65,0.1987
61,x2,1,0.4695,1.1262,-1.7379,2.6769,0.17,0.6768
61,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
62,Intercept,1,-2.2276,0.5000,-3.2076,-1.2476,19.85,<.0001
62,x1,1,-22.4269,143374.1,-281030,280985.6,0.00,0.9999
62,x2,1,0.9054,0.6455,-0.3598,2.1705,1.97,0.1607
62,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
63,Intercept,1,-2.5950,0.5774,-3.7266,-1.4634,20.20,<.0001
63,x1,1,-22.4686,171856.6,-336855,336810.4,0.00,0.9999
63,x2,1,-0.3184,1.1547,-2.5816,1.9447,0.08,0.7827
63,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
64,Intercept,1,-2.2113,0.5000,-3.1913,-1.2313,19.56,<.0001
64,x1,1,-23.8215,251437.5,-492832,492784.7,0.00,0.9999
64,x2,1,-0.2280,0.8660,-1.9254,1.4694,0.07,0.7923
64,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
65,Intercept,1,-3.3807,1.0000,-5.3406,-1.4207,11.43,0.0007
65,x1,1,-0.2447,1.1547,-2.5078,2.0185,0.04,0.8322
65,x2,1,1.5572,1.1547,-0.7060,3.8204,1.82,0.1775
65,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
66,Intercept,1,-2.2920,0.5000,-3.2720,-1.3120,21.01,<.0001
66,x1,1,-24.2123,206703.2,-405155,405106.6,0.00,0.9999
66,x2,1,0.4578,0.8660,-1.2395,2.1552,0.28,0.5970
66,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
67,Intercept,1,-2.0779,0.4472,-2.9545,-1.2014,21.59,<.0001
67,x1,1,-22.6861,152483.9,-298886,298840.3,0.00,0.9999
67,x2,1,-0.1176,0.8367,-1.7574,1.5222,0.02,0.8882
67,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
68,Intercept,1,-2.3192,0.5000,-3.2992,-1.3392,21.51,<.0001
68,x1,1,-24.2310,186525.8,-365608,365559.6,0.00,0.9999
68,x2,1,0.7892,0.6708,-0.5255,2.1040,1.38,0.2394
68,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
69,Intercept,1,-2.1477,0.5000,-3.1277,-1.1677,18.45,<.0001
69,x1,1,-23.6696,239402.9,-469245,469197.4,0.00,0.9999
69,x2,1,-0.9556,1.1180,-3.1469,1.2358,0.73,0.3927
69,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
70,Intercept,1,-3.6209,1.0000,-5.5808,-1.6609,13.11,0.0003
70,x1,1,-24.8558,244649.3,-479529,479478.9,0.00,0.9999
70,x2,1,2.0912,1.1547,-0.1720,4.3544,3.28,0.0701
70,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
71,Intercept,1,-3.0275,0.7071,-4.4134,-1.6416,18.33,<.0001
71,x1,1,-24.7631,248319.8,-486723,486673.2,0.00,0.9999
71,x2,1,1.6794,0.8660,-0.0180,3.3768,3.76,0.0525
71,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
72,Intercept,1,-1.9475,0.4084,-2.7479,-1.1471,22.74,<.0001
