isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
70,x2,1,1.0150,0.4721,0.1024,1.9845,4.62,0.0315
70,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
71,Intercept,1,-3.2565,0.4257,-4.2248,-2.5236,58.51,<.0001
71,x1,1,-0.5264,0.7036,-2.1691,0.7110,0.56,0.4543
71,x2,1,1.7105,0.5308,0.7007,2.8285,10.38,0.0013
71,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
72,Intercept,1,-2.9999,0.4264,-3.9674,-2.2641,49.49,<.0001
72,x1,1,0.3148,0.5665,-0.9049,1.3703,0.31,0.5783
72,x2,1,0.9656,0.5338,-0.0494,2.0871,3.27,0.0705
72,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
73,Intercept,1,-3.2966,0.4706,-4.3851,-2.4964,49.06,<.0001
73,x1,1,-0.4725,0.5946,-1.8178,0.5867,0.63,0.4268
73,x2,1,1.9282,0.5397,0.9439,3.1128,12.77,0.0004
73,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
74,Intercept,1,-2.7592,0.3430,-3.5143,-2.1533,64.71,<.0001
74,x1,1,-0.0236,0.7104,-1.6676,1.2326,0.00,0.9735
74,x2,1,0.6496,0.5142,-0.3898,1.6613,1.60,0.2065
74,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
75,Intercept,1,-2.4417,0.3145,-3.1237,-1.8798,60.29,<.0001
75,x1,1,0.4316,0.5869,-0.8964,1.4745,0.54,0.4621
75,x2,1,0.3242,0.4462,-0.5697,1.2061,0.53,0.4675
75,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
76,Intercept,1,-2.6730,0.3422,-3.4273,-2.0693,61.03,<.0001
76,x1,1,-0.5044,0.8558,-2.7015,0.8931,0.35,0.5556
76,x2,1,0.8111,0.4542,-0.0746,1.7344,3.19,0.0742
76,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
77,Intercept,1,-2.7183,0.3421,-3.4725,-2.1146,63.12,<.0001
77,x1,1,-0.8071,0.8647,-3.0127,0.6188,0.87,0.3506
77,x2,1,0.8824,0.4760,-0.0602,1.8378,3.44,0.0638
77,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
78,Intercept,1,-3.0318,0.3679,-3.8464,-2.3851,67.93,<.0001
78,x1,1,1.1518,0.5693,-0.0713,2.2122,4.09,0.0430
78,x2,1,0.8064,0.5050,-0.1868,1.8254,2.55,0.1103
78,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
79,Intercept,1,-2.6748,0.3333,-3.4011,-2.0816,64.39,<.0001
79,x1,1,1.2243,0.5978,-0.1163,2.2988,4.19,0.0406
79,x2,1,0.3171,0.4865,-0.6706,1.2705,0.42,0.5145
